Log File ID,Timestamp,Node Action
log1,4.541,node 2 sent join request SF: 12 Data size: 20 b RSSI: -112.560 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,6.860,gateway sent join accept to node 2 SF: 12 Data size: 12 b RSSI: -113.817 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.155 s
log1,8.015,node 2 connected
log1,11.784,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,11.840,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -113.059 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,15.488,node 0 sent join request SF: 12 Data size: 20 b RSSI: -104.383 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,16.931,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,16.987,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -113.711 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,17.807,gateway sent join accept to node 0 SF: 12 Data size: 12 b RSSI: -103.594 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.155 s
log1,18.962,node 0 connected
log1,22.077,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,22.134,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -115.530 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,22.190,node 0 sent data packet SF: 7 Data size: 16 b RSSI: -102.472 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,22.871,node 1 sent join request SF: 12 Data size: 20 b RSSI: -111.899 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,23.578,node 6 sent join request SF: 12 Data size: 20 b RSSI: -121.006 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,23.578,COLLISION! node 6 collided with node 1
log1,23.578,COLLISION! node 1 collided with node 6
log1,25.483,node 10 sent join request SF: 12 Data size: 20 b RSSI: -123.888 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,25.603,node 9 sent join request SF: 12 Data size: 20 b RSSI: -125.450 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,25.603,COLLISION! node 9 collided with node 10
log1,25.603,COLLISION! node 10 collided with node 9
log1,27.224,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,27.280,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -112.517 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,27.334,node 0 sent data packet SF: 7 Data size: 16 b RSSI: -102.533 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,27.674,node 10 sent join request RETRANSMISSION (retry count = 1)
log1,29.231,node 11 sent join request SF: 12 Data size: 20 b RSSI: -125.609 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,29.993,gateway sent join accept to node 10 SF: 12 Data size: 12 b RSSI: -123.338 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.155 s
log1,29.993,join request from node 11 is dropped
log1,29.993,COLLISION! gateway collided with node 11
log1,29.993,COLLISION! node 11 collided with gateway
log1,30.257,node 1 sent join request RETRANSMISSION (retry count = 1)
log1,30.257,COLLISION! node 1 collided with node 11
log1,30.257,COLLISION! node 11 collided with node 1
log1,30.257,join request from node 1 is dropped
log1,30.257,COLLISION! node 1 collided with gateway
log1,30.257,COLLISION! gateway collided with node 1
log1,31.720,node 11 sent join request RETRANSMISSION (retry count = 1)
log1,32.370,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,32.427,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -114.410 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,32.483,node 0 sent data packet SF: 7 Data size: 16 b RSSI: -101.340 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,33.686,node 10 sent join request RETRANSMISSION (retry count = 2)
log1,34.039,gateway sent join accept to node 11 SF: 12 Data size: 12 b RSSI: -127.576 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.155 s
log1,34.039,join request from node 10 is dropped
log1,34.039,COLLISION! gateway collided with node 10
log1,34.039,COLLISION! node 10 collided with gateway
log1,37.517,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,37.573,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -111.193 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,37.629,node 0 sent data packet SF: 7 Data size: 16 b RSSI: -103.520 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,39.292,node 4 sent join request SF: 12 Data size: 20 b RSSI: -116.925 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,39.466,node 1 sent join request RETRANSMISSION (retry count = 2)
log1,39.466,COLLISION! node 1 collided with node 4
log1,39.466,COLLISION! node 4 collided with node 1
log1,40.745,node 8 sent join request SF: 12 Data size: 20 b RSSI: -122.293 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,42.229,node 7 sent join request SF: 12 Data size: 20 b RSSI: -122.924 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.319 s
log1,42.664,gateway sent SACK packet to the nodes: SF: 7 Data size: 16 b Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s
log1,42.720,node 2 sent data packet SF: 7 Data size: 16 b RSSI: -113.144 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,42.774,node 0 sent data packet SF: 7 Data size: 16 b RSSI: -102.091 dBm Freq: 867.000 MHZ BW: 125 kHz Airtime: 0.051 s Guardtime: 0.002 ms
log1,43.015,node 11 sent join request RETRANSMISSION (retry count = 2)
log1,43.015,COLLISION! node 11 collided with node 7
log1,43.015,COLLISION! node 7 collided with node 11
log1,43.064,gateway sent join accept to node 8 SF: 12 Data size: 12 b RSSI: -121.092 dBm Freq: 868.000 MHZ BW: 125 kHz Airtime: 1.155 s
log1,43.064,join request from node 7 is dropped
log1,43.064,COLLISION! gateway collided with node 7
log1,43.064,COLLISION! node 7 collided with gateway
log1,43.064,join request from node 11 is dropped
log1,43.064,COLLISION! gateway collided with node 11
log1,43.064,COLLISION! node 11 collided with gateway
log1,43.962,node 4 sent join request RETRANSMISSION (retry count = 1)
log1,43.962,COLLISION! node 4 collided with node 11
log1,43.962,COLLISION! node 11 collided with node 4
log1,43.962,join request from node 4 is dropped
log1,43.962,COLLISION! node 4 collided with gateway
log1,43.962,COLLISION! gateway collided with node 4
log1,45.208,node 9 sent join request RETRANSMISSION (retry count = 1)
log1,46.957,node 6 sent join request RETRANSMISSION (retry count = 1)
